Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99833,8349,1971.07,206.31,8.36
Drew,25453,316,502.65,7.81,1.24
Waggoner,63195,7112,1246.13,175.74,11.25
West Winterton,40148,4780,805.68,118.12,11.91
East Winterton,16901,0,335.14,0.0,0.0
South Winterton,26013,3115,513.46,76.97,11.97
Thibaut Ponds,22891,1188,527.63,29.36,5.19
Total,294434,24860,5901.76,614.31,10.41
