Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,9385,1971.07,231.91,9.39
Drew,25462,1157,502.65,28.59,4.54
Waggoner,63198,6351,1246.13,156.94,10.05
West Winterton,40855,2834,805.68,70.03,6.94
East Winterton,17010,53,335.14,1.31,0.31
South Winterton,26035,2609,513.46,64.47,10.02
Thibaut Ponds,26753,1212,527.63,29.95,4.53
Total,299268,23601,5901.76,583.2,9.88
