Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,308,1971.05,7.61,0.31
Drew,25472,172,502.73,4.25,0.68
Waggoner,63203,9,1246.13,0.22,0.01
West Winterton,40854,0,805.67,0.0,0.0
East Winterton,17008,0,335.14,0.0,0.0
South Winterton,26034,27,513.46,0.67,0.1
Thibaut Ponds,26755,0,527.63,0.0,0.0
Total,299276,516,5901.81,12.75,0.22
