Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,12544,1971.07,309.97,12.55
Drew,25462,2127,502.65,52.56,8.35
Waggoner,63198,6262,1246.13,154.74,9.91
West Winterton,40855,2814,805.68,69.54,6.89
East Winterton,17010,114,335.14,2.82,0.67
South Winterton,26035,2556,513.46,63.16,9.82
Thibaut Ponds,26753,1557,527.63,38.47,5.82
Total,299268,27974,5901.76,691.26,11.71
