Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,14336,1971.07,354.25,14.34
Drew,25462,2465,502.65,60.91,9.68
Waggoner,63198,6533,1246.13,161.43,10.34
West Winterton,40855,3085,805.68,76.23,7.55
East Winterton,17010,188,335.14,4.65,1.11
South Winterton,26035,2649,513.46,65.46,10.17
Thibaut Ponds,26753,1619,527.63,40.01,6.05
Total,299268,30875,5901.76,762.94,12.93
