Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,52641,1971.07,1300.79,52.66
Drew,25462,14802,502.65,365.76,58.13
Waggoner,63198,14822,1246.13,366.26,23.45
West Winterton,40855,12310,805.68,304.19,30.13
East Winterton,17010,5529,335.14,136.62,32.5
South Winterton,26035,8424,513.46,208.16,32.36
Thibaut Ponds,26753,8537,527.63,210.95,31.91
Total,299268,117065,5901.76,2892.73,49.01
