Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,4421,1971.05,109.25,4.42
Drew,25472,853,502.73,21.08,3.35
Waggoner,63203,7083,1246.13,175.02,11.21
West Winterton,40851,8486,805.67,209.69,20.77
East Winterton,17008,38,335.14,0.94,0.22
South Winterton,26034,1878,513.46,46.41,7.21
Thibaut Ponds,26755,2234,527.63,55.2,8.35
Total,299273,24993,5901.81,617.59,10.46
