Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,4208,1971.05,103.98,4.21
Drew,25472,413,502.73,10.21,1.62
Waggoner,63203,8453,1246.13,208.88,13.37
West Winterton,40854,9798,805.67,242.11,23.98
East Winterton,17008,199,335.14,4.92,1.17
South Winterton,26034,2679,513.46,66.2,10.29
Thibaut Ponds,26755,1734,527.63,42.85,6.48
Total,299276,27484,5901.81,679.15,11.51
