Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,7949,1971.07,196.42,7.95
Drew,25462,382,502.65,9.44,1.5
Waggoner,63198,6438,1246.13,159.09,10.19
West Winterton,40855,4449,805.68,109.94,10.89
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,2845,513.46,70.3,10.93
Thibaut Ponds,26753,1433,527.63,35.41,5.36
Total,299268,23496,5901.76,580.6,9.84
