Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,9301,1971.07,229.83,9.31
Drew,25462,335,502.65,8.28,1.32
Waggoner,63197,7925,1246.13,195.83,12.54
West Winterton,40855,6928,805.68,171.19,16.96
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,3226,513.46,79.72,12.39
Thibaut Ponds,26753,1578,527.63,38.99,5.9
Total,299267,29293,5901.76,723.84,12.26
