Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,11912,1971.07,294.35,11.92
Drew,25462,1942,502.65,47.99,7.63
Waggoner,63198,6176,1246.13,152.61,9.77
West Winterton,40855,2732,805.68,67.51,6.69
East Winterton,17010,93,335.14,2.3,0.55
South Winterton,26035,2535,513.46,62.64,9.74
Thibaut Ponds,26753,1509,527.63,37.29,5.64
Total,299268,26899,5901.76,664.69,11.26
