Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,11068,1971.07,273.5,11.07
Drew,25462,1256,502.65,31.04,4.93
Waggoner,63198,6117,1246.13,151.15,9.68
West Winterton,40855,2779,805.68,68.67,6.8
East Winterton,17010,48,335.14,1.19,0.28
South Winterton,26035,2499,513.46,61.75,9.6
Thibaut Ponds,26753,1317,527.63,32.54,4.92
Total,299268,25084,5901.76,619.84,10.5
