Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,11285,1971.07,278.86,11.29
Drew,25462,470,502.65,11.61,1.85
Waggoner,63198,6714,1246.13,165.91,10.62
West Winterton,40855,2903,805.68,71.73,7.11
East Winterton,17010,11,335.14,0.27,0.06
South Winterton,26034,3387,513.46,83.69,13.01
Thibaut Ponds,26753,958,527.63,23.67,3.58
Total,299267,25728,5901.76,635.74,10.77
