Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,3338,1971.05,82.48,3.34
Drew,25472,265,502.73,6.55,1.04
Waggoner,63203,4844,1246.13,119.7,7.66
West Winterton,40854,2472,805.67,61.08,6.05
East Winterton,17008,0,335.14,0.0,0.0
South Winterton,26034,2431,513.46,60.07,9.34
Thibaut Ponds,26755,163,527.63,4.03,0.61
Total,299276,13513,5901.81,333.91,5.66
