Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,15211,1971.05,375.87,15.22
Drew,25472,4683,502.73,115.72,18.38
Waggoner,63203,4919,1246.13,121.55,7.78
West Winterton,40854,4603,805.67,113.74,11.27
East Winterton,17008,1707,335.14,42.18,10.04
South Winterton,26034,3655,513.46,90.32,14.04
Thibaut Ponds,26755,1774,527.63,43.84,6.63
Total,299276,36552,5901.81,903.22,15.3
