Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,7523,1971.07,185.9,7.53
Drew,25462,298,502.65,7.36,1.17
Waggoner,63198,5247,1246.13,129.66,8.3
West Winterton,40855,1287,805.68,31.8,3.15
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26034,2798,513.46,69.14,10.75
Thibaut Ponds,26753,603,527.63,14.9,2.25
Total,299267,17756,5901.76,438.76,7.43
