Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,56368,1971.07,1392.88,56.39
Drew,25462,11061,502.65,273.32,43.44
Waggoner,63198,27670,1246.13,683.74,43.78
West Winterton,40855,13558,805.68,335.02,33.19
East Winterton,17010,8268,335.14,204.31,48.61
South Winterton,26035,10529,513.46,260.18,40.44
Thibaut Ponds,26753,10088,527.63,249.28,37.71
Total,299268,137542,5901.76,3398.73,57.59
