Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99833,8956,1971.07,221.31,8.97
Drew,25453,350,502.65,8.65,1.38
Waggoner,63195,7559,1246.13,186.79,11.96
West Winterton,40148,5505,805.68,136.03,13.71
East Winterton,16901,0,335.14,0.0,0.0
South Winterton,26013,3225,513.46,79.69,12.4
Thibaut Ponds,22891,1257,527.63,31.06,5.49
Total,294434,26852,5901.76,663.53,11.24
