Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,22988,1971.07,568.04,23.0
Drew,25462,2616,502.65,64.64,10.27
Waggoner,63198,20930,1246.13,517.19,33.12
West Winterton,40855,9422,805.68,232.82,23.06
East Winterton,17010,9055,335.14,223.75,53.23
South Winterton,26035,8454,513.46,208.9,32.47
Thibaut Ponds,26753,5500,527.63,135.91,20.56
Total,299268,78965,5901.76,1951.25,33.06
