Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,6973,1971.07,172.31,6.98
Drew,25462,278,502.65,6.87,1.09
Waggoner,63198,4916,1246.13,121.48,7.78
West Winterton,40855,1048,805.68,25.9,2.57
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26034,2710,513.46,66.97,10.41
Thibaut Ponds,26753,533,527.63,13.17,1.99
Total,299267,16458,5901.76,406.7,6.89
