Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,13794,1971.07,340.86,13.8
Drew,25462,2518,502.65,62.22,9.89
Waggoner,63198,6427,1246.13,158.81,10.17
West Winterton,40855,2943,805.68,72.72,7.2
East Winterton,17010,183,335.14,4.52,1.08
South Winterton,26035,2614,513.46,64.59,10.04
Thibaut Ponds,26753,1666,527.63,41.17,6.23
Total,299268,30145,5901.76,744.89,12.62
