Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,18229,1971.07,450.45,18.24
Drew,25462,983,502.65,24.29,3.86
Waggoner,63197,10621,1246.13,262.45,16.81
West Winterton,40855,9235,805.68,228.2,22.6
East Winterton,17010,213,335.14,5.26,1.25
South Winterton,26035,4614,513.46,114.01,17.72
Thibaut Ponds,26753,2397,527.63,59.23,8.96
Total,299267,46292,5901.76,1143.89,19.38
