Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99953,5494,1971.07,135.76,5.5
Drew,25462,249,502.65,6.15,0.98
Waggoner,63195,3125,1246.13,77.22,4.95
West Winterton,40855,56,805.68,1.38,0.14
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,2244,513.46,55.45,8.62
Thibaut Ponds,26753,0,527.63,0.0,0.0
Total,299263,11168,5901.76,275.96,4.68
