Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,10369,1971.07,256.22,10.37
Drew,25462,549,502.65,13.57,2.16
Waggoner,63198,6676,1246.13,164.97,10.56
West Winterton,40855,3029,805.68,74.85,7.41
East Winterton,17010,23,335.14,0.57,0.14
South Winterton,26035,2812,513.46,69.49,10.8
Thibaut Ponds,26753,861,527.63,21.28,3.22
Total,299268,24319,5901.76,600.95,10.18
