Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,13011,1971.07,321.51,13.02
Drew,25462,535,502.65,13.22,2.1
Waggoner,63197,9417,1246.13,232.7,14.9
West Winterton,40855,8347,805.68,206.26,20.43
East Winterton,17010,37,335.14,0.91,0.22
South Winterton,26035,3790,513.46,93.65,14.56
Thibaut Ponds,26753,1993,527.63,49.25,7.45
Total,299267,37130,5901.76,917.5,15.55
