Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,14991,1971.07,370.44,15.0
Drew,25462,1196,502.65,29.55,4.7
Waggoner,63197,8424,1246.13,208.16,13.33
West Winterton,40855,3992,805.68,98.64,9.77
East Winterton,17010,198,335.14,4.89,1.16
South Winterton,26032,3470,513.46,85.75,13.33
Thibaut Ponds,26753,1271,527.63,31.41,4.75
Total,299264,33542,5901.76,828.84,14.04
