Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,4840,1971.07,119.6,4.84
Drew,25462,257,502.65,6.35,1.01
Waggoner,63198,4367,1246.13,107.91,6.91
West Winterton,40855,1655,805.68,40.9,4.05
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,2114,513.46,52.24,8.12
Thibaut Ponds,26753,349,527.63,8.62,1.3
Total,299268,13582,5901.76,335.62,5.69
