Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,3597,1971.05,88.88,3.6
Drew,25472,384,502.73,9.49,1.51
Waggoner,63203,6540,1246.13,161.61,10.35
West Winterton,40854,7805,805.67,192.87,19.1
East Winterton,17008,9,335.14,0.22,0.05
South Winterton,26034,1630,513.46,40.28,6.26
Thibaut Ponds,26755,2062,527.63,50.95,7.71
Total,299276,22027,5901.81,544.3,9.22
