Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,8956,1971.07,221.31,8.96
Drew,25462,359,502.65,8.87,1.41
Waggoner,63198,5955,1246.13,147.15,9.42
West Winterton,40855,1896,805.68,46.85,4.64
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26034,3022,513.46,74.68,11.61
Thibaut Ponds,26753,766,527.63,18.93,2.86
Total,299267,20954,5901.76,517.79,8.77
