Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99953,3646,1971.07,90.09,3.65
Drew,25462,134,502.65,3.31,0.53
Waggoner,63195,2011,1246.13,49.69,3.18
West Winterton,40855,11,805.68,0.27,0.03
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,1970,513.46,48.68,7.57
Thibaut Ponds,26753,0,527.63,0.0,0.0
Total,299263,7772,5901.76,192.04,3.25
