Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,14303,1971.05,353.43,14.31
Drew,25472,5192,502.73,128.3,20.38
Waggoner,63203,5904,1246.13,145.89,9.34
West Winterton,40854,2987,805.67,73.81,7.31
East Winterton,17008,621,335.14,15.35,3.65
South Winterton,26034,2726,513.46,67.36,10.47
Thibaut Ponds,26755,3214,527.63,79.42,12.01
Total,299276,34947,5901.81,863.56,14.63
