Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,31429,1971.07,776.63,31.44
Drew,25462,7838,502.65,193.68,30.78
Waggoner,63198,8636,1246.13,213.4,13.66
West Winterton,40855,5447,805.68,134.6,13.33
East Winterton,17010,1759,335.14,43.47,10.34
South Winterton,26035,4519,513.46,111.67,17.36
Thibaut Ponds,26753,3415,527.63,84.39,12.76
Total,299268,63043,5901.76,1557.84,26.4
