Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,348,1971.05,8.6,0.35
Drew,25472,204,502.73,5.04,0.8
Waggoner,63203,242,1246.13,5.98,0.38
West Winterton,40854,77,805.67,1.9,0.19
East Winterton,17008,14,335.14,0.35,0.08
South Winterton,26034,119,513.46,2.94,0.46
Thibaut Ponds,26755,51,527.63,1.26,0.19
Total,299276,1055,5901.81,26.07,0.44
