Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,40151,1971.05,992.15,40.17
Drew,25472,11876,502.73,293.46,46.62
Waggoner,63203,12924,1246.13,319.36,20.45
West Winterton,40854,12746,805.67,314.96,31.2
East Winterton,17008,4977,335.14,122.98,29.26
South Winterton,26034,9731,513.46,240.46,37.38
Thibaut Ponds,26755,5298,527.63,130.92,19.8
Total,299276,97703,5901.81,2414.29,40.91
