Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,524,1971.05,12.95,0.52
Drew,25472,317,502.73,7.83,1.24
Waggoner,63203,190,1246.13,4.69,0.3
West Winterton,40854,183,805.67,4.52,0.45
East Winterton,17008,15,335.14,0.37,0.09
South Winterton,26034,201,513.46,4.97,0.77
Thibaut Ponds,26755,36,527.63,0.89,0.13
Total,299276,1466,5901.81,36.22,0.61
