Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,49320,1971.07,1218.72,49.34
Drew,25462,9091,502.65,224.64,35.7
Waggoner,63198,24484,1246.13,605.01,38.74
West Winterton,40855,10425,805.68,257.61,25.52
East Winterton,17010,7149,335.14,176.66,42.03
South Winterton,26035,9288,513.46,229.51,35.68
Thibaut Ponds,26753,8392,527.63,207.37,31.37
Total,299268,118149,5901.76,2919.52,49.47
