Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,371,1971.05,9.17,0.37
Drew,25472,141,502.73,3.48,0.55
Waggoner,63203,469,1246.13,11.59,0.74
West Winterton,40854,1232,805.67,30.44,3.02
East Winterton,17008,0,335.14,0.0,0.0
South Winterton,26034,0,513.46,0.0,0.0
Thibaut Ponds,26755,608,527.63,15.02,2.27
Total,299276,2821,5901.81,69.7,1.18
