Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,17654,1971.07,436.24,17.66
Drew,25462,3534,502.65,87.33,13.88
Waggoner,63198,6941,1246.13,171.52,10.98
West Winterton,40855,3508,805.68,86.68,8.59
East Winterton,17010,430,335.14,10.63,2.53
South Winterton,26035,2864,513.46,70.77,11.0
Thibaut Ponds,26753,1860,527.63,45.96,6.95
Total,299268,36791,5901.76,909.13,15.4
