Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,357,1971.05,8.82,0.36
Drew,25472,208,502.73,5.14,0.82
Waggoner,63203,248,1246.13,6.13,0.39
West Winterton,40854,79,805.67,1.95,0.19
East Winterton,17008,15,335.14,0.37,0.09
South Winterton,26034,119,513.46,2.94,0.46
Thibaut Ponds,26755,51,527.63,1.26,0.19
Total,299276,1077,5901.81,26.61,0.45
