Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,10598,1971.07,261.88,10.6
Drew,25462,1539,502.65,38.03,6.04
Waggoner,63198,5973,1246.13,147.6,9.45
West Winterton,40855,2590,805.68,64.0,6.34
East Winterton,17010,61,335.14,1.51,0.36
South Winterton,26035,2474,513.46,61.13,9.5
Thibaut Ponds,26753,1418,527.63,35.04,5.3
Total,299268,24653,5901.76,609.19,10.32
