Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,3224,1971.05,79.67,3.23
Drew,25472,412,502.73,10.18,1.62
Waggoner,63203,5010,1246.13,123.8,7.93
West Winterton,40854,5511,805.67,136.18,13.49
East Winterton,17008,0,335.14,0.0,0.0
South Winterton,26034,5,513.46,0.12,0.02
Thibaut Ponds,26755,2153,527.63,53.2,8.05
Total,299276,16315,5901.81,403.15,6.83
