Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,7012,1971.07,173.27,7.02
Drew,25462,498,502.65,12.31,1.96
Waggoner,63198,5277,1246.13,130.4,8.35
West Winterton,40855,2250,805.68,55.6,5.51
East Winterton,17010,5,335.14,0.12,0.03
South Winterton,26035,2305,513.46,56.96,8.85
Thibaut Ponds,26753,949,527.63,23.45,3.55
Total,299268,18296,5901.76,452.11,7.66
