Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,11476,1971.07,283.58,11.48
Drew,25462,533,502.65,13.17,2.09
Waggoner,63198,8042,1246.13,198.72,12.73
West Winterton,40855,6576,805.68,162.5,16.1
East Winterton,17010,20,335.14,0.49,0.12
South Winterton,26035,3936,513.46,97.26,15.12
Thibaut Ponds,26753,1491,527.63,36.84,5.57
Total,299268,32074,5901.76,792.56,13.43
