Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99953,4197,1971.07,103.71,4.2
Drew,25462,182,502.65,4.5,0.71
Waggoner,63195,2353,1246.13,58.14,3.72
West Winterton,40855,25,805.68,0.62,0.06
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,2062,513.46,50.95,7.92
Thibaut Ponds,26753,0,527.63,0.0,0.0
Total,299263,8819,5901.76,217.92,3.69
