Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,4708,1971.05,116.34,4.71
Drew,25472,313,502.73,7.73,1.23
Waggoner,63202,7252,1246.13,179.2,11.47
West Winterton,40854,7283,805.67,179.97,17.83
East Winterton,17008,0,335.14,0.0,0.0
South Winterton,26032,3518,513.46,86.93,13.51
Thibaut Ponds,26755,1133,527.63,28.0,4.23
Total,299273,24207,5901.81,598.17,10.14
