Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,3609,1971.05,89.18,3.61
Drew,25472,382,502.73,9.44,1.5
Waggoner,63201,5830,1246.13,144.06,9.22
West Winterton,40854,6103,805.67,150.81,14.94
East Winterton,17008,6,335.14,0.15,0.04
South Winterton,26034,549,513.46,13.57,2.11
Thibaut Ponds,26755,2554,527.63,63.11,9.55
Total,299274,19033,5901.81,470.32,7.97
