Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,11077,1971.07,273.72,11.08
Drew,25462,1690,502.65,41.76,6.64
Waggoner,63198,6062,1246.13,149.8,9.59
West Winterton,40855,2641,805.68,65.26,6.46
East Winterton,17010,71,335.14,1.75,0.42
South Winterton,26035,2494,513.46,61.63,9.58
Thibaut Ponds,26753,1450,527.63,35.83,5.42
Total,299268,25485,5901.76,629.75,10.67
