Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99953,10127,1971.07,250.24,10.13
Drew,25462,496,502.65,12.26,1.95
Waggoner,63195,4797,1246.13,118.54,7.59
West Winterton,40855,669,805.68,16.53,1.64
East Winterton,17010,17,335.14,0.42,0.1
South Winterton,26035,2988,513.46,73.83,11.48
Thibaut Ponds,26753,163,527.63,4.03,0.61
Total,299263,19257,5901.76,475.85,8.06
