Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99833,9622,1971.07,237.76,9.64
Drew,25453,383,502.65,9.46,1.5
Waggoner,63195,7934,1246.13,196.05,12.55
West Winterton,40148,6063,805.68,149.82,15.1
East Winterton,16901,0,335.14,0.0,0.0
South Winterton,26013,3367,513.46,83.2,12.94
Thibaut Ponds,22891,1341,527.63,33.14,5.86
Total,294434,28710,5901.76,709.43,12.02
