Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,6436,1971.07,159.04,6.44
Drew,25462,260,502.65,6.42,1.02
Waggoner,63198,4618,1246.13,114.11,7.31
West Winterton,40855,848,805.68,20.95,2.08
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26034,2637,513.46,65.16,10.13
Thibaut Ponds,26753,442,527.63,10.92,1.65
Total,299267,15241,5901.76,376.6,6.38
