Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,11489,1971.07,283.9,11.49
Drew,25462,1157,502.65,28.59,4.54
Waggoner,63198,6031,1246.13,149.03,9.54
West Winterton,40855,2803,805.68,69.26,6.86
East Winterton,17010,51,335.14,1.26,0.3
South Winterton,26035,2526,513.46,62.42,9.7
Thibaut Ponds,26753,1334,527.63,32.96,4.99
Total,299268,25391,5901.76,627.42,10.63
