Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,13153,1971.07,325.02,13.16
Drew,25462,2319,502.65,57.3,9.11
Waggoner,63198,6342,1246.13,156.71,10.04
West Winterton,40855,2880,805.68,71.17,7.05
East Winterton,17010,144,335.14,3.56,0.85
South Winterton,26035,2588,513.46,63.95,9.94
Thibaut Ponds,26753,1604,527.63,39.64,6.0
Total,299268,29030,5901.76,717.35,12.15
