Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,20004,1971.07,494.31,20.01
Drew,25462,4237,502.65,104.7,16.64
Waggoner,63198,7199,1246.13,177.89,11.39
West Winterton,40855,3797,805.68,93.83,9.29
East Winterton,17010,598,335.14,14.78,3.52
South Winterton,26035,3029,513.46,74.85,11.63
Thibaut Ponds,26753,2061,527.63,50.93,7.7
Total,299268,40925,5901.76,1011.29,17.14
