Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,1,1971.05,0.02,0.0
Drew,25472,136,502.73,3.36,0.53
Waggoner,63203,0,1246.13,0.0,0.0
West Winterton,40854,0,805.67,0.0,0.0
East Winterton,17008,0,335.14,0.0,0.0
South Winterton,26034,0,513.46,0.0,0.0
Thibaut Ponds,26755,0,527.63,0.0,0.0
Total,299276,137,5901.81,3.38,0.06
