Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,7984,1971.07,197.29,7.99
Drew,25462,1275,502.65,31.51,5.01
Waggoner,63198,5907,1246.13,145.96,9.35
West Winterton,40855,2453,805.68,60.61,6.0
East Winterton,17010,32,335.14,0.79,0.19
South Winterton,26035,2398,513.46,59.26,9.21
Thibaut Ponds,26753,1282,527.63,31.68,4.79
Total,299268,21331,5901.76,527.1,8.93
