Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,5659,1971.07,139.84,5.66
Drew,25462,312,502.65,7.71,1.23
Waggoner,63198,4771,1246.13,117.89,7.55
West Winterton,40855,1956,805.68,48.33,4.79
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,2198,513.46,54.31,8.44
Thibaut Ponds,26753,612,527.63,15.12,2.29
Total,299268,15508,5901.76,383.2,6.49
