Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,10139,1971.07,250.54,10.14
Drew,25462,378,502.65,9.34,1.48
Waggoner,63197,8386,1246.13,207.22,13.27
West Winterton,40855,7432,805.68,183.65,18.19
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,3356,513.46,82.93,12.89
Thibaut Ponds,26753,1701,527.63,42.03,6.36
Total,299267,31392,5901.76,775.71,13.14
