Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99950,2348,1971.05,58.02,2.35
Drew,25472,979,502.73,24.19,3.84
Waggoner,63203,888,1246.13,21.94,1.4
West Winterton,40854,649,805.67,16.04,1.59
East Winterton,17008,185,335.14,4.57,1.09
South Winterton,26034,583,513.46,14.41,2.24
Thibaut Ponds,26755,259,527.63,6.4,0.97
Total,299276,5891,5901.81,145.57,2.47
