Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,12375,1971.07,305.79,12.38
Drew,25462,860,502.65,21.25,3.38
Waggoner,63198,7094,1246.13,175.3,11.23
West Winterton,40855,3365,805.68,83.15,8.24
East Winterton,17010,76,335.14,1.88,0.45
South Winterton,26035,2988,513.46,73.83,11.48
Thibaut Ponds,26753,1124,527.63,27.77,4.2
Total,299268,27882,5901.76,688.97,11.67
