Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99953,9436,1971.07,233.17,9.44
Drew,25462,1197,502.65,29.58,4.7
Waggonner,63198,6212,1246.13,153.5,9.83
West Winterton,40855,2592,805.68,64.05,6.34
East Winterton,17010,81,335.14,2.0,0.48
South Winterton,26033,2492,513.46,61.58,9.57
Thibaut Ponds,26753,1333,527.63,32.94,4.98
Total,299264,23343,5901.76,576.82,9.77
