Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,0,1971.07,0.0,0.0
Drew,25462,133,502.65,3.29,0.52
Waggoner,63198,1,1246.13,0.02,0.0
West Winterton,40855,0,805.68,0.0,0.0
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,0,513.46,0.0,0.0
Thibaut Ponds,26753,0,527.63,0.0,0.0
Total,299268,134,5901.76,3.31,0.06
