Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,2498,1971.07,61.73,2.5
Drew,25462,221,502.65,5.46,0.87
Waggoner,63198,1517,1246.13,37.49,2.4
West Winterton,40855,781,805.68,19.3,1.91
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,8,513.46,0.2,0.03
Thibaut Ponds,26753,386,527.63,9.54,1.44
Total,299268,5411,5901.76,133.72,2.27
