Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,8729,1971.07,215.7,8.73
Drew,25462,1225,502.65,30.27,4.81
Waggoner,63198,6312,1246.13,155.97,9.99
West Winterton,40855,2852,805.68,70.47,6.98
East Winterton,17010,47,335.14,1.16,0.28
South Winterton,26035,2577,513.46,63.68,9.9
Thibaut Ponds,26753,1171,527.63,28.94,4.38
Total,299268,22913,5901.76,566.19,9.59
