Flood_Unit,total_pixels,flooded_pixels,unit_acres,acres_flooded,flooded_percentage
Thibaut,99955,932,1971.07,23.03,0.93
Drew,25462,127,502.65,3.14,0.5
Waggoner,63198,158,1246.13,3.9,0.25
West Winterton,40855,0,805.68,0.0,0.0
East Winterton,17010,0,335.14,0.0,0.0
South Winterton,26035,477,513.46,11.79,1.83
Thibaut Ponds,25885,0,527.63,0.0,0.0
Total,298400,1694,5901.76,41.86,0.71
